min_time = 60402; max_time = 60402; average_time = 60402; 
min_time = 2540; max_time = 60402; average_time = 31471; 
min_time = 2107; max_time = 60402; average_time = 21683; 
min_time = 2107; max_time = 60402; average_time = 26669; 
min_time = 2107; max_time = 60402; average_time = 24799; 
min_time = 2107; max_time = 60402; average_time = 28064; 
min_time = 2107; max_time = 136035; average_time = 43488; 
min_time = 2107; max_time = 315618; average_time = 77504; 
min_time = 2107; max_time = 315618; average_time = 69944; 
min_time = 328; max_time = 315618; average_time = 62982; 
min_time = 328; max_time = 315618; average_time = 61348; 
min_time = 328; max_time = 315618; average_time = 60114; 
min_time = 328; max_time = 315618; average_time = 57962; 
min_time = 328; max_time = 315618; average_time = 53939; 
min_time = 328; max_time = 315618; average_time = 51567; 
min_time = 328; max_time = 315618; average_time = 48559; 
min_time = 328; max_time = 315618; average_time = 46155; 
min_time = 328; max_time = 315618; average_time = 47006; 
min_time = 328; max_time = 315618; average_time = 45121; 
min_time = 328; max_time = 315618; average_time = 43522; 
min_time = 328; max_time = 315618; average_time = 41734; 
min_time = 328; max_time = 315618; average_time = 40816; 
min_time = 328; max_time = 315618; average_time = 39059; 
min_time = 328; max_time = 315618; average_time = 37495; 
min_time = 328; max_time = 315618; average_time = 41792; 
min_time = 328; max_time = 315618; average_time = 41208; 
min_time = 328; max_time = 315618; average_time = 39790; 
min_time = 328; max_time = 315618; average_time = 38405; 
min_time = 4; max_time = 315618; average_time = 37081; 
min_time = 4; max_time = 315618; average_time = 35964; 
min_time = 4; max_time = 315618; average_time = 34820; 
min_time = 4; max_time = 315618; average_time = 33759; 
min_time = 4; max_time = 315618; average_time = 32737; 
min_time = 4; max_time = 315618; average_time = 31896; 
min_time = 4; max_time = 315618; average_time = 30988; 
min_time = 4; max_time = 315618; average_time = 30136; 
min_time = 4; max_time = 315618; average_time = 29340; 
min_time = 4; max_time = 315618; average_time = 28579; 
min_time = 4; max_time = 315618; average_time = 27893; 
min_time = 4; max_time = 315618; average_time = 27332; 
min_time = 4; max_time = 315618; average_time = 26903; 
min_time = 4; max_time = 315618; average_time = 26888; 
min_time = 4; max_time = 315618; average_time = 26268; 
min_time = 4; max_time = 315618; average_time = 25679; 
min_time = 4; max_time = 315618; average_time = 25733; 
min_time = 4; max_time = 315618; average_time = 25417; 
min_time = 4; max_time = 315618; average_time = 25142; 
min_time = 4; max_time = 315618; average_time = 24653; 
min_time = 4; max_time = 315618; average_time = 27381; 
min_time = 4; max_time = 315618; average_time = 26934; 
min_time = 3; max_time = 315618; average_time = 26406; 
min_time = 3; max_time = 315618; average_time = 25943; 
min_time = 3; max_time = 315618; average_time = 25489; 
min_time = 3; max_time = 315618; average_time = 25198; 
min_time = 2; max_time = 315618; average_time = 24739; 
min_time = 2; max_time = 315618; average_time = 25089; 
min_time = 2; max_time = 315618; average_time = 24735; 
min_time = 2; max_time = 315618; average_time = 25128; 
min_time = 2; max_time = 315618; average_time = 24789; 
