min_time = 4; max_time = 41699; average_time = 2808; 
min_time = 4; max_time = 41699; average_time = 2786; 
min_time = 4; max_time = 41699; average_time = 2765; 
min_time = 4; max_time = 41699; average_time = 2745; 
min_time = 4; max_time = 41699; average_time = 2827; 
min_time = 4; max_time = 41699; average_time = 2806; 
min_time = 4; max_time = 41699; average_time = 2785; 
min_time = 4; max_time = 41699; average_time = 2765; 
min_time = 4; max_time = 41699; average_time = 2745; 
min_time = 4; max_time = 41699; average_time = 2725; 
min_time = 4; max_time = 41699; average_time = 2705; 
min_time = 4; max_time = 41699; average_time = 2686; 
min_time = 4; max_time = 41699; average_time = 2667; 
min_time = 4; max_time = 41699; average_time = 2748; 
min_time = 4; max_time = 41699; average_time = 2734; 
min_time = 4; max_time = 41699; average_time = 2715; 
min_time = 4; max_time = 41699; average_time = 2700; 
min_time = 4; max_time = 41699; average_time = 2682; 
min_time = 4; max_time = 41699; average_time = 2664; 
min_time = 4; max_time = 41699; average_time = 2646; 
min_time = 4; max_time = 41699; average_time = 2629; 
min_time = 4; max_time = 41699; average_time = 2611; 
min_time = 4; max_time = 41699; average_time = 2594; 
min_time = 4; max_time = 41699; average_time = 2577; 
min_time = 4; max_time = 41699; average_time = 2560; 
min_time = 4; max_time = 41699; average_time = 2545; 
min_time = 4; max_time = 41699; average_time = 2529; 
min_time = 4; max_time = 41699; average_time = 2517; 
min_time = 4; max_time = 41699; average_time = 2501; 
min_time = 4; max_time = 41699; average_time = 2485; 
min_time = 4; max_time = 41699; average_time = 2470; 
min_time = 4; max_time = 41699; average_time = 2464; 
min_time = 4; max_time = 41699; average_time = 2456; 
min_time = 4; max_time = 41699; average_time = 2441; 
min_time = 4; max_time = 41699; average_time = 2426; 
min_time = 4; max_time = 41699; average_time = 2411; 
min_time = 4; max_time = 41699; average_time = 2397; 
min_time = 4; max_time = 41699; average_time = 2382; 
min_time = 4; max_time = 41699; average_time = 2368; 
min_time = 4; max_time = 41699; average_time = 2355; 
min_time = 4; max_time = 41699; average_time = 2341; 
min_time = 4; max_time = 41699; average_time = 2327; 
min_time = 4; max_time = 41699; average_time = 2314; 
min_time = 4; max_time = 41699; average_time = 2300; 
min_time = 4; max_time = 41699; average_time = 2291; 
min_time = 4; max_time = 41699; average_time = 2278; 
min_time = 4; max_time = 41699; average_time = 2275; 
min_time = 4; max_time = 41699; average_time = 2299; 
min_time = 4; max_time = 41699; average_time = 2300; 
min_time = 4; max_time = 41699; average_time = 2344; 
min_time = 4; max_time = 41699; average_time = 2331; 
min_time = 4; max_time = 41699; average_time = 2318; 
min_time = 4; max_time = 41699; average_time = 2337; 
min_time = 4; max_time = 41699; average_time = 2325; 
min_time = 4; max_time = 41699; average_time = 2341; 
min_time = 4; max_time = 41699; average_time = 2328; 
min_time = 4; max_time = 41699; average_time = 2316; 
min_time = 4; max_time = 41699; average_time = 2303; 
min_time = 4; max_time = 41699; average_time = 2292; 
min_time = 4; max_time = 41699; average_time = 2280; 
min_time = 4; max_time = 41699; average_time = 2277; 
min_time = 4; max_time = 41699; average_time = 2334; 
min_time = 4; max_time = 41699; average_time = 2322; 
min_time = 4; max_time = 41699; average_time = 2310; 
min_time = 4; max_time = 41699; average_time = 2397; 
min_time = 4; max_time = 41699; average_time = 2410; 
min_time = 4; max_time = 41699; average_time = 2397; 
min_time = 4; max_time = 41699; average_time = 2391; 
min_time = 4; max_time = 41699; average_time = 2444; 
min_time = 4; max_time = 41699; average_time = 2432; 
min_time = 4; max_time = 41699; average_time = 2419; 
min_time = 4; max_time = 41699; average_time = 2408; 
min_time = 4; max_time = 41699; average_time = 2396; 
min_time = 4; max_time = 41699; average_time = 2384; 
min_time = 4; max_time = 41699; average_time = 2478; 
min_time = 4; max_time = 41699; average_time = 2465; 
min_time = 4; max_time = 41699; average_time = 2472; 
min_time = 4; max_time = 41699; average_time = 2460; 
min_time = 4; max_time = 41699; average_time = 2514; 
min_time = 4; max_time = 41699; average_time = 2502; 
min_time = 4; max_time = 41699; average_time = 2540; 
min_time = 4; max_time = 41699; average_time = 2528; 
min_time = 4; max_time = 41699; average_time = 2516; 
min_time = 4; max_time = 41699; average_time = 2504; 
min_time = 4; max_time = 41699; average_time = 2492; 
min_time = 4; max_time = 41699; average_time = 2481; 
min_time = 4; max_time = 41699; average_time = 2470; 
min_time = 4; max_time = 41699; average_time = 2465; 
min_time = 4; max_time = 41699; average_time = 2454; 
min_time = 4; max_time = 41699; average_time = 2444; 
min_time = 4; max_time = 41699; average_time = 2433; 
min_time = 4; max_time = 41699; average_time = 2422; 
min_time = 4; max_time = 41699; average_time = 2411; 
min_time = 4; max_time = 41699; average_time = 2400; 
min_time = 4; max_time = 41699; average_time = 2389; 
min_time = 4; max_time = 41699; average_time = 2379; 
min_time = 4; max_time = 41699; average_time = 2407; 
min_time = 4; max_time = 41699; average_time = 2396; 
min_time = 4; max_time = 41699; average_time = 2387; 
min_time = 4; max_time = 41699; average_time = 2379; 
min_time = 4; max_time = 41699; average_time = 2369; 
min_time = 4; max_time = 55040; average_time = 2598; 
min_time = 4; max_time = 55040; average_time = 2643; 
min_time = 4; max_time = 55040; average_time = 2753; 
min_time = 4; max_time = 55040; average_time = 2741; 
min_time = 4; max_time = 55040; average_time = 2729; 
min_time = 4; max_time = 55040; average_time = 2718; 
min_time = 4; max_time = 55040; average_time = 2764; 
min_time = 4; max_time = 55040; average_time = 2753; 
min_time = 4; max_time = 55040; average_time = 2742; 
min_time = 4; max_time = 55040; average_time = 2731; 
min_time = 4; max_time = 55040; average_time = 2719; 
min_time = 4; max_time = 55040; average_time = 2708; 
min_time = 4; max_time = 55040; average_time = 2701; 
min_time = 4; max_time = 55040; average_time = 2690; 
min_time = 4; max_time = 55040; average_time = 2679; 
min_time = 4; max_time = 55040; average_time = 2668; 
min_time = 4; max_time = 55040; average_time = 2657; 
min_time = 4; max_time = 55040; average_time = 2715; 
min_time = 4; max_time = 55040; average_time = 2704; 
min_time = 4; max_time = 55040; average_time = 2693; 
min_time = 4; max_time = 55040; average_time = 2682; 
min_time = 4; max_time = 55040; average_time = 2672; 
min_time = 4; max_time = 55040; average_time = 2661; 
min_time = 4; max_time = 55040; average_time = 2651; 
min_time = 4; max_time = 55040; average_time = 2640; 
min_time = 4; max_time = 55040; average_time = 2630; 
min_time = 4; max_time = 55040; average_time = 2621; 
min_time = 4; max_time = 55040; average_time = 2668; 
min_time = 4; max_time = 55040; average_time = 2729; 
min_time = 4; max_time = 55040; average_time = 2718; 
min_time = 4; max_time = 55040; average_time = 2708; 
min_time = 4; max_time = 55040; average_time = 2698; 
min_time = 4; max_time = 55040; average_time = 2688; 
min_time = 4; max_time = 55040; average_time = 2678; 
min_time = 4; max_time = 55040; average_time = 2668; 
min_time = 4; max_time = 55040; average_time = 2663; 
min_time = 4; max_time = 55040; average_time = 2653; 
min_time = 4; max_time = 55040; average_time = 2644; 
min_time = 4; max_time = 55040; average_time = 2634; 
min_time = 4; max_time = 55040; average_time = 2624; 
min_time = 4; max_time = 55040; average_time = 2614; 
min_time = 4; max_time = 55040; average_time = 2605; 
min_time = 4; max_time = 55040; average_time = 2596; 
min_time = 4; max_time = 55040; average_time = 2586; 
min_time = 4; max_time = 55040; average_time = 2577; 
min_time = 4; max_time = 55040; average_time = 2614; 
min_time = 4; max_time = 55040; average_time = 2605; 
min_time = 4; max_time = 55040; average_time = 2599; 
min_time = 4; max_time = 55040; average_time = 2591; 
min_time = 4; max_time = 55040; average_time = 2582; 
min_time = 4; max_time = 55040; average_time = 2614; 
min_time = 4; max_time = 55040; average_time = 2605; 
min_time = 4; max_time = 55040; average_time = 2610; 
min_time = 4; max_time = 55040; average_time = 2601; 
min_time = 4; max_time = 55040; average_time = 2612; 
min_time = 4; max_time = 55040; average_time = 2603; 
min_time = 4; max_time = 55040; average_time = 2594; 
min_time = 4; max_time = 55040; average_time = 2585; 
min_time = 4; max_time = 55040; average_time = 2577; 
min_time = 4; max_time = 55040; average_time = 2616; 
min_time = 4; max_time = 55040; average_time = 2607; 
min_time = 4; max_time = 55040; average_time = 2598; 
