min_time = 4; max_time = 49038; average_time = 2468; current_time = 24196; 
min_time = 4; max_time = 49038; average_time = 2444; current_time = 22; 
min_time = 4; max_time = 49038; average_time = 2420; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2397; current_time = 42; 
min_time = 4; max_time = 49038; average_time = 2374; current_time = 18; 
min_time = 4; max_time = 49038; average_time = 2352; current_time = 5; 
min_time = 4; max_time = 49038; average_time = 2330; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2308; current_time = 26; 
min_time = 4; max_time = 49038; average_time = 2287; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2266; current_time = 26; 
min_time = 4; max_time = 49038; average_time = 2318; current_time = 8019; 
min_time = 4; max_time = 49038; average_time = 2388; current_time = 10085; 
min_time = 4; max_time = 49038; average_time = 2367; current_time = 19; 
min_time = 4; max_time = 49038; average_time = 2346; current_time = 18; 
min_time = 4; max_time = 49038; average_time = 2326; current_time = 5; 
min_time = 4; max_time = 49038; average_time = 2306; current_time = 23; 
min_time = 4; max_time = 49038; average_time = 2396; current_time = 12791; 
min_time = 4; max_time = 49038; average_time = 2376; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2356; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2336; current_time = 22; 
min_time = 4; max_time = 49038; average_time = 2317; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2298; current_time = 22; 
min_time = 4; max_time = 49038; average_time = 2279; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2260; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2242; current_time = 23; 
min_time = 4; max_time = 49038; average_time = 2224; current_time = 23; 
min_time = 4; max_time = 49038; average_time = 2300; current_time = 11769; 
min_time = 4; max_time = 49038; average_time = 2282; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2264; current_time = 5; 
min_time = 4; max_time = 49038; average_time = 2247; current_time = 21; 
min_time = 4; max_time = 49038; average_time = 2233; current_time = 467; 
min_time = 4; max_time = 49038; average_time = 2217; current_time = 64; 
min_time = 4; max_time = 49038; average_time = 2306; current_time = 14057; 
min_time = 4; max_time = 49038; average_time = 2289; current_time = 5; 
min_time = 4; max_time = 49038; average_time = 2272; current_time = 20; 
min_time = 4; max_time = 49038; average_time = 2517; current_time = 35279; 
min_time = 4; max_time = 49038; average_time = 2498; current_time = 7; 
