pattern_count = 1; pattern_len = 11; net_len = 23; min_time = 1578; max_time = 1730; average_time = 1645; 
pattern_count = 1; pattern_len = 11; net_len = 28; min_time = 2899; max_time = 3054; average_time = 2990; 
pattern_count = 1; pattern_len = 11; net_len = 33; min_time = 4776; max_time = 4904; average_time = 4826; 
pattern_count = 1; pattern_len = 11; net_len = 38; min_time = 7304; max_time = 7695; average_time = 7410; 
pattern_count = 1; pattern_len = 11; net_len = 43; min_time = 10613; max_time = 11115; average_time = 10860; 
pattern_count = 1; pattern_len = 11; net_len = 48; min_time = 14728; max_time = 15406; average_time = 14967; 
pattern_count = 1; pattern_len = 11; net_len = 53; min_time = 20199; max_time = 20739; average_time = 20420; 
pattern_count = 1; pattern_len = 11; net_len = 58; min_time = 26307; max_time = 27141; average_time = 26654; 
pattern_count = 1; pattern_len = 11; net_len = 63; min_time = 33839; max_time = 34621; average_time = 34117; 
pattern_count = 1; pattern_len = 11; net_len = 68; min_time = 42015; max_time = 43826; average_time = 42854; 
pattern_count = 1; pattern_len = 11; net_len = 73; min_time = 52250; max_time = 54472; average_time = 52790; 
pattern_count = 1; pattern_len = 11; net_len = 78; min_time = 63607; max_time = 65096; average_time = 64187; 
pattern_count = 1; pattern_len = 11; net_len = 83; min_time = 77220; max_time = 79118; average_time = 77884; 
pattern_count = 1; pattern_len = 11; net_len = 88; min_time = 92194; max_time = 93192; average_time = 92607; 
pattern_count = 1; pattern_len = 11; net_len = 93; min_time = 108564; max_time = 110126; average_time = 109252; 
pattern_count = 1; pattern_len = 11; net_len = 98; min_time = 127037; max_time = 130046; average_time = 128209; 

pattern_count = 1; pattern_len = 14; net_len = 3; min_time = 6; max_time = 26; average_time = 10; 
pattern_count = 1; pattern_len = 14; net_len = 8; min_time = 101; max_time = 136; average_time = 110; 
pattern_count = 1; pattern_len = 14; net_len = 13; min_time = 429; max_time = 500; average_time = 465; 
pattern_count = 1; pattern_len = 14; net_len = 18; min_time = 1205; max_time = 1291; average_time = 1243; 
pattern_count = 1; pattern_len = 14; net_len = 23; min_time = 2536; max_time = 3180; average_time = 2719; 
pattern_count = 1; pattern_len = 14; net_len = 28; min_time = 4585; max_time = 4859; average_time = 4731; 
pattern_count = 1; pattern_len = 14; net_len = 33; min_time = 7447; max_time = 7903; average_time = 7597; 
pattern_count = 1; pattern_len = 14; net_len = 38; min_time = 11385; max_time = 11763; average_time = 11556; 
pattern_count = 1; pattern_len = 14; net_len = 43; min_time = 16636; max_time = 17170; average_time = 16833; 
pattern_count = 1; pattern_len = 14; net_len = 48; min_time = 23205; max_time = 23621; average_time = 23432; 
pattern_count = 1; pattern_len = 14; net_len = 53; min_time = 31444; max_time = 32285; average_time = 31819; 
pattern_count = 1; pattern_len = 14; net_len = 58; min_time = 41441; max_time = 41844; average_time = 41581; 
pattern_count = 1; pattern_len = 14; net_len = 63; min_time = 52640; max_time = 54224; average_time = 53317; 
pattern_count = 1; pattern_len = 14; net_len = 68; min_time = 65833; max_time = 67044; average_time = 66600; 
pattern_count = 1; pattern_len = 14; net_len = 73; min_time = 81506; max_time = 84838; average_time = 82545; 
pattern_count = 1; pattern_len = 14; net_len = 78; min_time = 99883; max_time = 101132; average_time = 100603; 
pattern_count = 1; pattern_len = 14; net_len = 83; min_time = 120345; max_time = 122745; average_time = 121535; 
pattern_count = 1; pattern_len = 14; net_len = 88; min_time = 143824; max_time = 145677; average_time = 144799; 
pattern_count = 1; pattern_len = 14; net_len = 93; min_time = 170988; max_time = 174937; average_time = 172537; 
pattern_count = 1; pattern_len = 14; net_len = 98; min_time = 200643; max_time = 204500; average_time = 202188; 

pattern_count = 1; pattern_len = 17; net_len = 3; min_time = 8; max_time = 9; average_time = 8; 
pattern_count = 1; pattern_len = 17; net_len = 8; min_time = 133; max_time = 175; average_time = 153; 
pattern_count = 1; pattern_len = 17; net_len = 13; min_time = 616; max_time = 740; average_time = 679; 
pattern_count = 1; pattern_len = 17; net_len = 18; min_time = 1729; max_time = 1850; average_time = 1785; 
pattern_count = 1; pattern_len = 17; net_len = 23; min_time = 3625; max_time = 3756; average_time = 3655; 
pattern_count = 1; pattern_len = 17; net_len = 28; min_time = 6575; max_time = 6771; average_time = 6637; 
pattern_count = 1; pattern_len = 17; net_len = 33; min_time = 10873; max_time = 11241; average_time = 11016; 
pattern_count = 1; pattern_len = 17; net_len = 38; min_time = 16495; max_time = 17119; average_time = 16729; 
pattern_count = 1; pattern_len = 17; net_len = 43; min_time = 23817; max_time = 24762; average_time = 24417; 
pattern_count = 1; pattern_len = 17; net_len = 48; min_time = 33678; max_time = 34264; average_time = 33893; 
pattern_count = 1; pattern_len = 17; net_len = 53; min_time = 45029; max_time = 45769; average_time = 45547; 
pattern_count = 1; pattern_len = 17; net_len = 58; min_time = 59610; max_time = 60322; average_time = 59933; 
pattern_count = 1; pattern_len = 17; net_len = 63; min_time = 76878; max_time = 77525; average_time = 77323; 
pattern_count = 1; pattern_len = 17; net_len = 68; min_time = 96170; max_time = 96855; average_time = 96501; 
pattern_count = 1; pattern_len = 17; net_len = 73; min_time = 118601; max_time = 119996; average_time = 119168; 
pattern_count = 1; pattern_len = 17; net_len = 78; min_time = 143027; max_time = 147604; average_time = 145540; 
pattern_count = 1; pattern_len = 17; net_len = 83; min_time = 174808; max_time = 177787; average_time = 176029; 
pattern_count = 1; pattern_len = 17; net_len = 88; min_time = 208774; max_time = 211183; average_time = 209827; 
pattern_count = 1; pattern_len = 17; net_len = 93; min_time = 247924; max_time = 250492; average_time = 249179; 
pattern_count = 1; pattern_len = 17; net_len = 98; min_time = 289042; max_time = 291252; average_time = 290074; 

pattern_count = 1; pattern_len = 20; net_len = 3; min_time = 13; max_time = 29; average_time = 18; 
pattern_count = 1; pattern_len = 20; net_len = 8; min_time = 194; max_time = 220; average_time = 206; 
pattern_count = 1; pattern_len = 20; net_len = 13; min_time = 909; max_time = 946; average_time = 923; 
pattern_count = 1; pattern_len = 20; net_len = 18; min_time = 2362; max_time = 2653; average_time = 2480; 
pattern_count = 1; pattern_len = 20; net_len = 23; min_time = 5009; max_time = 5381; average_time = 5120; 
pattern_count = 1; pattern_len = 20; net_len = 28; min_time = 9134; max_time = 9549; average_time = 9252; 
pattern_count = 1; pattern_len = 20; net_len = 33; min_time = 14574; max_time = 15468; average_time = 14889; 
pattern_count = 1; pattern_len = 20; net_len = 38; min_time = 22819; max_time = 23083; average_time = 22990; 
pattern_count = 1; pattern_len = 20; net_len = 43; min_time = 32885; max_time = 33613; average_time = 33295; 
pattern_count = 1; pattern_len = 20; net_len = 48; min_time = 45814; max_time = 46618; average_time = 46221; 
pattern_count = 1; pattern_len = 20; net_len = 53; min_time = 61987; max_time = 62645; average_time = 62193; 
pattern_count = 1; pattern_len = 20; net_len = 58; min_time = 81393; max_time = 82857; average_time = 82287; 
pattern_count = 1; pattern_len = 20; net_len = 63; min_time = 103593; max_time = 105098; average_time = 104462; 
pattern_count = 1; pattern_len = 20; net_len = 68; min_time = 129969; max_time = 131456; average_time = 130748; 
pattern_count = 1; pattern_len = 20; net_len = 73; min_time = 161320; max_time = 164131; average_time = 162575; 
pattern_count = 1; pattern_len = 20; net_len = 78; min_time = 196995; max_time = 199030; average_time = 198109; 
pattern_count = 1; pattern_len = 20; net_len = 83; min_time = 237084; max_time = 243740; average_time = 239763; 
pattern_count = 1; pattern_len = 20; net_len = 88; min_time = 276511; max_time = 282051; average_time = 279489; 
pattern_count = 1; pattern_len = 20; net_len = 93; min_time = 329609; max_time = 333649; average_time = 331492; 
pattern_count = 1; pattern_len = 20; net_len = 98; min_time = 386376; max_time = 391747; average_time = 389305; 


pattern_count = 1; pattern_len = 23; net_len = 3; min_time = 12; max_time = 25; average_time = 18; 
pattern_count = 1; pattern_len = 23; net_len = 8; min_time = 185; max_time = 381; average_time = 263; 
pattern_count = 1; pattern_len = 23; net_len = 13; min_time = 1064; max_time = 2631; average_time = 1401; 
pattern_count = 1; pattern_len = 23; net_len = 18; min_time = 2687; max_time = 2852; average_time = 2768; 
pattern_count = 1; pattern_len = 23; net_len = 23; min_time = 5680; max_time = 7093; average_time = 6094; 
pattern_count = 1; pattern_len = 23; net_len = 28; min_time = 10038; max_time = 10340; average_time = 10222; 
pattern_count = 1; pattern_len = 23; net_len = 33; min_time = 16169; max_time = 16511; average_time = 16323; 
pattern_count = 1; pattern_len = 23; net_len = 38; min_time = 24626; max_time = 26669; average_time = 25338; 
pattern_count = 1; pattern_len = 23; net_len = 43; min_time = 36078; max_time = 37046; average_time = 36544; 
pattern_count = 1; pattern_len = 23; net_len = 48; min_time = 50127; max_time = 50656; average_time = 50380; 
pattern_count = 1; pattern_len = 23; net_len = 53; min_time = 68346; max_time = 69458; average_time = 68821; 
pattern_count = 1; pattern_len = 23; net_len = 58; min_time = 89053; max_time = 90696; average_time = 89888; 
pattern_count = 1; pattern_len = 23; net_len = 63; min_time = 114442; max_time = 115623; average_time = 115003; 
pattern_count = 1; pattern_len = 23; net_len = 68; min_time = 142389; max_time = 144502; average_time = 143919; 
pattern_count = 1; pattern_len = 23; net_len = 73; min_time = 184014; max_time = 187157; average_time = 185413; 
pattern_count = 1; pattern_len = 23; net_len = 78; min_time = 225115; max_time = 230042; average_time = 227541; 
pattern_count = 1; pattern_len = 23; net_len = 83; min_time = 271367; max_time = 274873; average_time = 273094; 
pattern_count = 1; pattern_len = 23; net_len = 88; min_time = 325084; max_time = 331476; average_time = 327902; 
pattern_count = 1; pattern_len = 23; net_len = 93; min_time = 385673; max_time = 389869; average_time = 388235; 
pattern_count = 1; pattern_len = 23; net_len = 98; min_time = 453083; max_time = 460446; average_time = 457762; 

pattern_count = 1; pattern_len = 26; net_len = 3; min_time = 18; max_time = 25; average_time = 20; 
