pattern_count = 1; pattern_len = 12; net_len = 20; min_time = 1202; max_time = 1471; average_time = 1284; 
pattern_count = 1; pattern_len = 12; net_len = 25; min_time = 2425; max_time = 2532; average_time = 2485; 
pattern_count = 1; pattern_len = 12; net_len = 30; min_time = 4162; max_time = 4334; average_time = 4224; 
pattern_count = 1; pattern_len = 12; net_len = 35; min_time = 6654; max_time = 6939; average_time = 6754; 
pattern_count = 1; pattern_len = 12; net_len = 40; min_time = 10087; max_time = 10307; average_time = 10172; 
pattern_count = 1; pattern_len = 12; net_len = 45; min_time = 14403; max_time = 14762; average_time = 14545; 
pattern_count = 1; pattern_len = 12; net_len = 50; min_time = 19700; max_time = 20108; average_time = 19911; 
pattern_count = 1; pattern_len = 12; net_len = 55; min_time = 26275; max_time = 26889; average_time = 26617; 
pattern_count = 1; pattern_len = 12; net_len = 60; min_time = 33703; max_time = 34938; average_time = 34367; 
pattern_count = 1; pattern_len = 12; net_len = 65; min_time = 42714; max_time = 44213; average_time = 43540; 
pattern_count = 1; pattern_len = 12; net_len = 70; min_time = 53816; max_time = 54276; average_time = 54095; 
pattern_count = 1; pattern_len = 12; net_len = 75; min_time = 65903; max_time = 67662; average_time = 66862; 
pattern_count = 1; pattern_len = 12; net_len = 80; min_time = 80621; max_time = 83387; average_time = 81663; 
pattern_count = 1; pattern_len = 12; net_len = 85; min_time = 99074; max_time = 100373; average_time = 99405; 
pattern_count = 1; pattern_len = 12; net_len = 90; min_time = 117158; max_time = 119632; average_time = 118196; 
pattern_count = 1; pattern_len = 12; net_len = 95; min_time = 138762; max_time = 141359; average_time = 140048; 
pattern_count = 1; pattern_len = 12; net_len = 100; min_time = 161816; max_time = 164819; average_time = 163507; 

pattern_count = 1; pattern_len = 15; net_len = 5; min_time = 828; max_time = 893; average_time = 860; 
pattern_count = 1; pattern_len = 15; net_len = 10; min_time = 784; max_time = 1038; average_time = 889; 
pattern_count = 1; pattern_len = 15; net_len = 15; min_time = 780; max_time = 865; average_time = 832; 
pattern_count = 1; pattern_len = 15; net_len = 20; min_time = 1897; max_time = 1964; average_time = 1928; 
pattern_count = 1; pattern_len = 15; net_len = 25; min_time = 3716; max_time = 3858; average_time = 3793; 
pattern_count = 1; pattern_len = 15; net_len = 30; min_time = 6486; max_time = 6734; average_time = 6599; 
pattern_count = 1; pattern_len = 15; net_len = 35; min_time = 10297; max_time = 10419; average_time = 10348; 
pattern_count = 1; pattern_len = 15; net_len = 40; min_time = 15462; max_time = 16165; average_time = 15674; 
pattern_count = 1; pattern_len = 15; net_len = 45; min_time = 22032; max_time = 22615; average_time = 22270; 
pattern_count = 1; pattern_len = 15; net_len = 50; min_time = 30431; max_time = 31181; average_time = 30675; 
pattern_count = 1; pattern_len = 15; net_len = 55; min_time = 40612; max_time = 41042; average_time = 40832; 
pattern_count = 1; pattern_len = 15; net_len = 60; min_time = 52651; max_time = 57119; average_time = 53912; 
pattern_count = 1; pattern_len = 15; net_len = 65; min_time = 66543; max_time = 67705; average_time = 66973; 
pattern_count = 1; pattern_len = 15; net_len = 70; min_time = 84008; max_time = 87346; average_time = 84923; 
pattern_count = 1; pattern_len = 15; net_len = 75; min_time = 103151; max_time = 103517; average_time = 103348; 
pattern_count = 1; pattern_len = 15; net_len = 80; min_time = 126100; max_time = 128278; average_time = 127298; 
pattern_count = 1; pattern_len = 15; net_len = 85; min_time = 152467; max_time = 154922; average_time = 153239; 
pattern_count = 1; pattern_len = 15; net_len = 90; min_time = 177745; max_time = 181938; average_time = 180411; 
pattern_count = 1; pattern_len = 15; net_len = 95; min_time = 212641; max_time = 217260; average_time = 214790; 
