pattern_count = 1; pattern_len = 3; net_len = 5; min_time = 1; max_time = 7; average_time = 2; 
pattern_count = 1; pattern_len = 3; net_len = 10; min_time = 4; max_time = 53; average_time = 12; 
pattern_count = 1; pattern_len = 3; net_len = 15; min_time = 8; max_time = 69; average_time = 19; 
pattern_count = 1; pattern_len = 3; net_len = 20; min_time = 14; max_time = 35; average_time = 19; 
pattern_count = 1; pattern_len = 3; net_len = 25; min_time = 15; max_time = 43; average_time = 26; 
pattern_count = 1; pattern_len = 3; net_len = 30; min_time = 17; max_time = 33; average_time = 24; 
pattern_count = 1; pattern_len = 3; net_len = 35; min_time = 24; max_time = 54; average_time = 35; 
pattern_count = 1; pattern_len = 3; net_len = 40; min_time = 33; max_time = 59; average_time = 40; 
pattern_count = 1; pattern_len = 3; net_len = 45; min_time = 31; max_time = 53; average_time = 37; 
pattern_count = 1; pattern_len = 3; net_len = 50; min_time = 50; max_time = 122; average_time = 75; 
pattern_count = 1; pattern_len = 3; net_len = 55; min_time = 60; max_time = 158; average_time = 87; 
pattern_count = 1; pattern_len = 3; net_len = 60; min_time = 65; max_time = 162; average_time = 106; 
pattern_count = 1; pattern_len = 3; net_len = 65; min_time = 66; max_time = 137; average_time = 84; 
pattern_count = 1; pattern_len = 3; net_len = 70; min_time = 91; max_time = 176; average_time = 120; 
pattern_count = 1; pattern_len = 3; net_len = 75; min_time = 99; max_time = 180; average_time = 143; 
pattern_count = 1; pattern_len = 3; net_len = 80; min_time = 101; max_time = 190; average_time = 127; 
pattern_count = 1; pattern_len = 3; net_len = 85; min_time = 111; max_time = 177; average_time = 133; 
pattern_count = 1; pattern_len = 3; net_len = 90; min_time = 122; max_time = 203; average_time = 155; 
pattern_count = 1; pattern_len = 3; net_len = 95; min_time = 139; max_time = 191; average_time = 164; 
pattern_count = 1; pattern_len = 3; net_len = 100; min_time = 152; max_time = 210; average_time = 179; 

pattern_count = 1; pattern_len = 6; net_len = 5; min_time = 1; max_time = 2; average_time = 1; 
pattern_count = 1; pattern_len = 6; net_len = 10; min_time = 6; max_time = 9; average_time = 7; 
pattern_count = 1; pattern_len = 6; net_len = 15; min_time = 14; max_time = 20; average_time = 16; 
pattern_count = 1; pattern_len = 6; net_len = 20; min_time = 21; max_time = 33; average_time = 26; 
pattern_count = 1; pattern_len = 6; net_len = 25; min_time = 29; max_time = 68; average_time = 35; 
pattern_count = 1; pattern_len = 6; net_len = 30; min_time = 40; max_time = 51; average_time = 44; 
pattern_count = 1; pattern_len = 6; net_len = 35; min_time = 55; max_time = 84; average_time = 71; 
pattern_count = 1; pattern_len = 6; net_len = 40; min_time = 95; max_time = 162; average_time = 120; 
pattern_count = 1; pattern_len = 6; net_len = 45; min_time = 102; max_time = 197; average_time = 148; 
pattern_count = 1; pattern_len = 6; net_len = 50; min_time = 111; max_time = 196; average_time = 140; 
pattern_count = 1; pattern_len = 6; net_len = 55; min_time = 136; max_time = 231; average_time = 167; 
pattern_count = 1; pattern_len = 6; net_len = 60; min_time = 163; max_time = 236; average_time = 197; 
pattern_count = 1; pattern_len = 6; net_len = 65; min_time = 182; max_time = 267; average_time = 215; 
pattern_count = 1; pattern_len = 6; net_len = 70; min_time = 231; max_time = 380; average_time = 287; 
pattern_count = 1; pattern_len = 6; net_len = 75; min_time = 240; max_time = 365; average_time = 292; 
pattern_count = 1; pattern_len = 6; net_len = 80; min_time = 290; max_time = 402; average_time = 329; 
pattern_count = 1; pattern_len = 6; net_len = 85; min_time = 311; max_time = 468; average_time = 375; 
pattern_count = 1; pattern_len = 6; net_len = 90; min_time = 339; max_time = 565; average_time = 458; 
pattern_count = 1; pattern_len = 6; net_len = 95; min_time = 405; max_time = 514; average_time = 461; 
pattern_count = 1; pattern_len = 6; net_len = 100; min_time = 461; max_time = 605; average_time = 518; 

pattern_count = 1; pattern_len = 9; net_len = 5; min_time = 3; max_time = 8; average_time = 4; 
pattern_count = 1; pattern_len = 9; net_len = 10; min_time = 11; max_time = 18; average_time = 13; 
pattern_count = 1; pattern_len = 9; net_len = 15; min_time = 23; max_time = 42; average_time = 29; 
pattern_count = 1; pattern_len = 9; net_len = 20; min_time = 32; max_time = 45; average_time = 36; 
pattern_count = 1; pattern_len = 9; net_len = 25; min_time = 53; max_time = 82; average_time = 68; 
pattern_count = 1; pattern_len = 9; net_len = 30; min_time = 70; max_time = 123; average_time = 88; 
pattern_count = 1; pattern_len = 9; net_len = 35; min_time = 101; max_time = 165; average_time = 123; 
pattern_count = 1; pattern_len = 9; net_len = 40; min_time = 133; max_time = 190; average_time = 157; 
pattern_count = 1; pattern_len = 9; net_len = 45; min_time = 146; max_time = 263; average_time = 195; 
pattern_count = 1; pattern_len = 9; net_len = 50; min_time = 197; max_time = 315; average_time = 244; 
pattern_count = 1; pattern_len = 9; net_len = 55; min_time = 254; max_time = 335; average_time = 293; 
pattern_count = 1; pattern_len = 9; net_len = 60; min_time = 312; max_time = 420; average_time = 357; 
pattern_count = 1; pattern_len = 9; net_len = 65; min_time = 357; max_time = 439; average_time = 394; 
pattern_count = 1; pattern_len = 9; net_len = 70; min_time = 385; max_time = 531; average_time = 464; 
pattern_count = 1; pattern_len = 9; net_len = 75; min_time = 478; max_time = 653; average_time = 543; 
pattern_count = 1; pattern_len = 9; net_len = 80; min_time = 512; max_time = 757; average_time = 605; 
pattern_count = 1; pattern_len = 9; net_len = 85; min_time = 616; max_time = 764; average_time = 685; 
pattern_count = 1; pattern_len = 9; net_len = 90; min_time = 676; max_time = 996; average_time = 785; 
pattern_count = 1; pattern_len = 9; net_len = 95; min_time = 799; max_time = 997; average_time = 881; 
pattern_count = 1; pattern_len = 9; net_len = 100; min_time = 865; max_time = 1047; average_time = 926; 

pattern_count = 1; pattern_len = 12; net_len = 5; min_time = 4; max_time = 5; average_time = 4; 
pattern_count = 1; pattern_len = 12; net_len = 10; min_time = 16; max_time = 31; average_time = 22; 
pattern_count = 1; pattern_len = 12; net_len = 15; min_time = 32; max_time = 59; average_time = 41; 
pattern_count = 1; pattern_len = 12; net_len = 20; min_time = 53; max_time = 83; average_time = 63; 
pattern_count = 1; pattern_len = 12; net_len = 25; min_time = 82; max_time = 122; average_time = 100; 
pattern_count = 1; pattern_len = 12; net_len = 30; min_time = 124; max_time = 183; average_time = 144; 
pattern_count = 1; pattern_len = 12; net_len = 35; min_time = 153; max_time = 201; average_time = 182; 
pattern_count = 1; pattern_len = 12; net_len = 40; min_time = 217; max_time = 281; average_time = 250; 
pattern_count = 1; pattern_len = 12; net_len = 45; min_time = 268; max_time = 400; average_time = 323; 
pattern_count = 1; pattern_len = 12; net_len = 50; min_time = 321; max_time = 468; average_time = 386; 
pattern_count = 1; pattern_len = 12; net_len = 55; min_time = 382; max_time = 558; average_time = 480; 
pattern_count = 1; pattern_len = 12; net_len = 60; min_time = 476; max_time = 636; average_time = 550; 
pattern_count = 1; pattern_len = 12; net_len = 65; min_time = 544; max_time = 733; average_time = 658; 
pattern_count = 1; pattern_len = 12; net_len = 70; min_time = 672; max_time = 957; average_time = 777; 
pattern_count = 1; pattern_len = 12; net_len = 75; min_time = 798; max_time = 973; average_time = 871; 
pattern_count = 1; pattern_len = 12; net_len = 80; min_time = 803; max_time = 1210; average_time = 1029; 
pattern_count = 1; pattern_len = 12; net_len = 85; min_time = 959; max_time = 1309; average_time = 1131; 
pattern_count = 1; pattern_len = 12; net_len = 90; min_time = 1154; max_time = 1419; average_time = 1306; 
pattern_count = 1; pattern_len = 12; net_len = 95; min_time = 1269; max_time = 1598; average_time = 1353; 
pattern_count = 1; pattern_len = 12; net_len = 100; min_time = 1434; max_time = 2056; average_time = 1546; 

pattern_count = 1; pattern_len = 15; net_len = 5; min_time = 8; max_time = 13; average_time = 9; 
pattern_count = 1; pattern_len = 15; net_len = 10; min_time = 22; max_time = 37; average_time = 28; 
pattern_count = 1; pattern_len = 15; net_len = 15; min_time = 43; max_time = 52; average_time = 47; 
pattern_count = 1; pattern_len = 15; net_len = 20; min_time = 83; max_time = 119; average_time = 97; 
pattern_count = 1; pattern_len = 15; net_len = 25; min_time = 106; max_time = 173; average_time = 138; 
pattern_count = 1; pattern_len = 15; net_len = 30; min_time = 177; max_time = 411; average_time = 241; 
pattern_count = 1; pattern_len = 15; net_len = 35; min_time = 215; max_time = 304; average_time = 259; 
pattern_count = 1; pattern_len = 15; net_len = 40; min_time = 298; max_time = 439; average_time = 343; 
pattern_count = 1; pattern_len = 15; net_len = 45; min_time = 330; max_time = 520; average_time = 445; 
pattern_count = 1; pattern_len = 15; net_len = 50; min_time = 428; max_time = 612; average_time = 550; 
pattern_count = 1; pattern_len = 15; net_len = 55; min_time = 489; max_time = 767; average_time = 662; 
pattern_count = 1; pattern_len = 15; net_len = 60; min_time = 686; max_time = 853; average_time = 780; 
pattern_count = 1; pattern_len = 15; net_len = 65; min_time = 881; max_time = 1147; average_time = 956; 
pattern_count = 1; pattern_len = 15; net_len = 70; min_time = 852; max_time = 1148; average_time = 1046; 
pattern_count = 1; pattern_len = 15; net_len = 75; min_time = 1044; max_time = 1487; average_time = 1236; 
pattern_count = 1; pattern_len = 15; net_len = 80; min_time = 1242; max_time = 1435; average_time = 1358; 
pattern_count = 1; pattern_len = 15; net_len = 85; min_time = 1402; max_time = 1923; average_time = 1543; 
pattern_count = 1; pattern_len = 15; net_len = 90; min_time = 1533; max_time = 2034; average_time = 1787; 
pattern_count = 1; pattern_len = 15; net_len = 95; min_time = 1709; max_time = 2168; average_time = 1945; 
pattern_count = 1; pattern_len = 15; net_len = 100; min_time = 1915; max_time = 2533; average_time = 2239; 

pattern_count = 1; pattern_len = 18; net_len = 5; min_time = 10; max_time = 13; average_time = 11; 
pattern_count = 1; pattern_len = 18; net_len = 10; min_time = 25; max_time = 38; average_time = 31; 
pattern_count = 1; pattern_len = 18; net_len = 15; min_time = 57; max_time = 96; average_time = 77; 
pattern_count = 1; pattern_len = 18; net_len = 20; min_time = 98; max_time = 144; average_time = 123; 
pattern_count = 1; pattern_len = 18; net_len = 25; min_time = 143; max_time = 235; average_time = 182; 
pattern_count = 1; pattern_len = 18; net_len = 30; min_time = 203; max_time = 362; average_time = 271; 
pattern_count = 1; pattern_len = 18; net_len = 35; min_time = 300; max_time = 519; average_time = 402; 
pattern_count = 1; pattern_len = 18; net_len = 40; min_time = 374; max_time = 589; average_time = 469; 
pattern_count = 1; pattern_len = 18; net_len = 45; min_time = 511; max_time = 742; average_time = 604; 
pattern_count = 1; pattern_len = 18; net_len = 50; min_time = 599; max_time = 843; average_time = 717; 
pattern_count = 1; pattern_len = 18; net_len = 55; min_time = 761; max_time = 1222; average_time = 928; 
pattern_count = 1; pattern_len = 18; net_len = 60; min_time = 939; max_time = 1314; average_time = 1078; 
pattern_count = 1; pattern_len = 18; net_len = 65; min_time = 1143; max_time = 1517; average_time = 1299; 
pattern_count = 1; pattern_len = 18; net_len = 70; min_time = 1231; max_time = 1668; average_time = 1464; 
pattern_count = 1; pattern_len = 18; net_len = 75; min_time = 1407; max_time = 1855; average_time = 1603; 
pattern_count = 1; pattern_len = 18; net_len = 80; min_time = 1675; max_time = 2255; average_time = 1916; 
pattern_count = 1; pattern_len = 18; net_len = 85; min_time = 1791; max_time = 2863; average_time = 2206; 
pattern_count = 1; pattern_len = 18; net_len = 90; min_time = 2157; max_time = 2726; average_time = 2367; 
pattern_count = 1; pattern_len = 18; net_len = 95; min_time = 2127; max_time = 2790; average_time = 2537; 
pattern_count = 1; pattern_len = 18; net_len = 100; min_time = 2366; max_time = 3125; average_time = 2886; 

pattern_count = 1; pattern_len = 21; net_len = 5; min_time = 13; max_time = 21; average_time = 17; 
pattern_count = 1; pattern_len = 21; net_len = 10; min_time = 35; max_time = 60; average_time = 43; 
pattern_count = 1; pattern_len = 21; net_len = 15; min_time = 73; max_time = 124; average_time = 95; 
pattern_count = 1; pattern_len = 21; net_len = 20; min_time = 109; max_time = 178; average_time = 154; 
pattern_count = 1; pattern_len = 21; net_len = 25; min_time = 214; max_time = 332; average_time = 257; 
pattern_count = 1; pattern_len = 21; net_len = 30; min_time = 316; max_time = 433; average_time = 361; 
pattern_count = 1; pattern_len = 21; net_len = 35; min_time = 337; max_time = 542; average_time = 438; 
pattern_count = 1; pattern_len = 21; net_len = 40; min_time = 550; max_time = 725; average_time = 636; 
pattern_count = 1; pattern_len = 21; net_len = 45; min_time = 663; max_time = 822; average_time = 741; 
pattern_count = 1; pattern_len = 21; net_len = 50; min_time = 722; max_time = 1174; average_time = 949; 
pattern_count = 1; pattern_len = 21; net_len = 55; min_time = 905; max_time = 1320; average_time = 1130; 
pattern_count = 1; pattern_len = 21; net_len = 60; min_time = 1164; max_time = 1569; average_time = 1367; 
pattern_count = 1; pattern_len = 21; net_len = 65; min_time = 1277; max_time = 1991; average_time = 1468; 
pattern_count = 1; pattern_len = 21; net_len = 70; min_time = 1461; max_time = 2094; average_time = 1778; 
pattern_count = 1; pattern_len = 21; net_len = 75; min_time = 1706; max_time = 2684; average_time = 2077; 
pattern_count = 1; pattern_len = 21; net_len = 80; min_time = 1776; max_time = 2599; average_time = 2247; 
pattern_count = 1; pattern_len = 21; net_len = 85; min_time = 2292; max_time = 3100; average_time = 2713; 
pattern_count = 1; pattern_len = 21; net_len = 90; min_time = 2436; max_time = 3354; average_time = 2883; 
pattern_count = 1; pattern_len = 21; net_len = 95; min_time = 2788; max_time = 3807; average_time = 3160; 
pattern_count = 1; pattern_len = 21; net_len = 100; min_time = 3211; max_time = 4203; average_time = 3653; 

pattern_count = 1; pattern_len = 24; net_len = 5; min_time = 12; max_time = 20; average_time = 15; 
pattern_count = 1; pattern_len = 24; net_len = 10; min_time = 41; max_time = 55; average_time = 47; 
pattern_count = 1; pattern_len = 24; net_len = 15; min_time = 82; max_time = 146; average_time = 108; 
pattern_count = 1; pattern_len = 24; net_len = 20; min_time = 171; max_time = 241; average_time = 197; 
pattern_count = 1; pattern_len = 24; net_len = 25; min_time = 256; max_time = 327; average_time = 294; 
pattern_count = 1; pattern_len = 24; net_len = 30; min_time = 312; max_time = 527; average_time = 435; 
pattern_count = 1; pattern_len = 24; net_len = 35; min_time = 474; max_time = 768; average_time = 623; 
pattern_count = 1; pattern_len = 24; net_len = 40; min_time = 511; max_time = 905; average_time = 722; 
pattern_count = 1; pattern_len = 24; net_len = 45; min_time = 810; max_time = 1028; average_time = 910; 
pattern_count = 1; pattern_len = 24; net_len = 50; min_time = 1060; max_time = 1440; average_time = 1187; 
pattern_count = 1; pattern_len = 24; net_len = 55; min_time = 1074; max_time = 1563; average_time = 1368; 
pattern_count = 1; pattern_len = 24; net_len = 60; min_time = 1392; max_time = 2078; average_time = 1689; 
pattern_count = 1; pattern_len = 24; net_len = 65; min_time = 1607; max_time = 2263; average_time = 1846; 
pattern_count = 1; pattern_len = 24; net_len = 70; min_time = 1801; max_time = 2700; average_time = 2141; 
pattern_count = 1; pattern_len = 24; net_len = 75; min_time = 2027; max_time = 3330; average_time = 2531; 
pattern_count = 1; pattern_len = 24; net_len = 80; min_time = 2517; max_time = 3512; average_time = 2939; 
pattern_count = 1; pattern_len = 24; net_len = 85; min_time = 2579; max_time = 3145; average_time = 2903; 
pattern_count = 1; pattern_len = 24; net_len = 90; min_time = 2888; max_time = 4003; average_time = 3370; 
pattern_count = 1; pattern_len = 24; net_len = 95; min_time = 3652; max_time = 5075; average_time = 4253; 
pattern_count = 1; pattern_len = 24; net_len = 100; min_time = 4115; max_time = 5098; average_time = 4665; 

pattern_count = 1; pattern_len = 27; net_len = 5; min_time = 16; max_time = 23; average_time = 18; 
pattern_count = 1; pattern_len = 27; net_len = 10; min_time = 48; max_time = 68; average_time = 59; 
pattern_count = 1; pattern_len = 27; net_len = 15; min_time = 114; max_time = 197; average_time = 141; 
pattern_count = 1; pattern_len = 27; net_len = 20; min_time = 181; max_time = 295; average_time = 234; 
pattern_count = 1; pattern_len = 27; net_len = 25; min_time = 299; max_time = 478; average_time = 379; 
pattern_count = 1; pattern_len = 27; net_len = 30; min_time = 399; max_time = 638; average_time = 516; 
pattern_count = 1; pattern_len = 27; net_len = 35; min_time = 516; max_time = 838; average_time = 634; 
pattern_count = 1; pattern_len = 27; net_len = 40; min_time = 630; max_time = 1095; average_time = 916; 
pattern_count = 1; pattern_len = 27; net_len = 45; min_time = 896; max_time = 1261; average_time = 1110; 
pattern_count = 1; pattern_len = 27; net_len = 50; min_time = 1268; max_time = 1544; average_time = 1380; 
pattern_count = 1; pattern_len = 27; net_len = 55; min_time = 1449; max_time = 1752; average_time = 1615; 
pattern_count = 1; pattern_len = 27; net_len = 60; min_time = 1703; max_time = 2465; average_time = 2064; 
pattern_count = 1; pattern_len = 27; net_len = 65; min_time = 1838; max_time = 2708; average_time = 2275; 
pattern_count = 1; pattern_len = 27; net_len = 70; min_time = 2406; max_time = 3133; average_time = 2728; 
pattern_count = 1; pattern_len = 27; net_len = 75; min_time = 3029; max_time = 3730; average_time = 3261; 
pattern_count = 1; pattern_len = 27; net_len = 80; min_time = 2836; max_time = 4282; average_time = 3409; 
pattern_count = 1; pattern_len = 27; net_len = 85; min_time = 3519; max_time = 5842; average_time = 4306; 
pattern_count = 1; pattern_len = 27; net_len = 90; min_time = 3559; max_time = 5233; average_time = 4496; 
pattern_count = 1; pattern_len = 27; net_len = 95; min_time = 4359; max_time = 6049; average_time = 4992; 
pattern_count = 1; pattern_len = 27; net_len = 100; min_time = 4614; max_time = 7141; average_time = 5771; 

pattern_count = 1; pattern_len = 30; net_len = 5; min_time = 17; max_time = 25; average_time = 20; 
pattern_count = 1; pattern_len = 30; net_len = 10; min_time = 65; max_time = 109; average_time = 80; 
pattern_count = 1; pattern_len = 30; net_len = 15; min_time = 137; max_time = 213; average_time = 163; 
pattern_count = 1; pattern_len = 30; net_len = 20; min_time = 262; max_time = 309; average_time = 294; 
pattern_count = 1; pattern_len = 30; net_len = 25; min_time = 370; max_time = 556; average_time = 455; 
pattern_count = 1; pattern_len = 30; net_len = 30; min_time = 564; max_time = 746; average_time = 626; 
pattern_count = 1; pattern_len = 30; net_len = 35; min_time = 691; max_time = 1029; average_time = 786; 
pattern_count = 1; pattern_len = 30; net_len = 40; min_time = 825; max_time = 1182; average_time = 1010; 
pattern_count = 1; pattern_len = 30; net_len = 45; min_time = 1090; max_time = 1571; average_time = 1358; 
pattern_count = 1; pattern_len = 30; net_len = 50; min_time = 1386; max_time = 1972; average_time = 1598; 
pattern_count = 1; pattern_len = 30; net_len = 55; min_time = 1835; max_time = 2484; average_time = 2104; 
pattern_count = 1; pattern_len = 30; net_len = 60; min_time = 1910; max_time = 2861; average_time = 2353; 
pattern_count = 1; pattern_len = 30; net_len = 65; min_time = 2157; max_time = 3376; average_time = 2729; 
