pattern_count = 1; pattern_len = 12; net_len = 35; min_time = 154; max_time = 225; average_time = 189; 
pattern_count = 1; pattern_len = 12; net_len = 40; min_time = 214; max_time = 347; average_time = 260; 
pattern_count = 1; pattern_len = 12; net_len = 45; min_time = 251; max_time = 422; average_time = 331; 
pattern_count = 1; pattern_len = 12; net_len = 50; min_time = 341; max_time = 547; average_time = 416; 
pattern_count = 1; pattern_len = 12; net_len = 55; min_time = 389; max_time = 706; average_time = 549; 
pattern_count = 1; pattern_len = 12; net_len = 60; min_time = 503; max_time = 712; average_time = 581; 
pattern_count = 1; pattern_len = 12; net_len = 65; min_time = 563; max_time = 800; average_time = 673; 
pattern_count = 1; pattern_len = 12; net_len = 70; min_time = 626; max_time = 941; average_time = 798; 
pattern_count = 1; pattern_len = 12; net_len = 75; min_time = 768; max_time = 1206; average_time = 908; 
pattern_count = 1; pattern_len = 12; net_len = 80; min_time = 917; max_time = 1298; average_time = 1029; 
pattern_count = 1; pattern_len = 12; net_len = 85; min_time = 1008; max_time = 1389; average_time = 1145; 
pattern_count = 1; pattern_len = 12; net_len = 90; min_time = 1173; max_time = 1718; average_time = 1373; 
pattern_count = 1; pattern_len = 12; net_len = 95; min_time = 1277; max_time = 1781; average_time = 1552; 
pattern_count = 1; pattern_len = 12; net_len = 100; min_time = 1520; max_time = 2342; average_time = 1689; 

pattern_count = 1; pattern_len = 15; net_len = 5; min_time = 45; max_time = 77; average_time = 63; 
pattern_count = 1; pattern_len = 15; net_len = 10; min_time = 44; max_time = 63; average_time = 53; 
pattern_count = 1; pattern_len = 15; net_len = 15; min_time = 52; max_time = 83; average_time = 64; 
pattern_count = 1; pattern_len = 15; net_len = 20; min_time = 78; max_time = 142; average_time = 92; 
pattern_count = 1; pattern_len = 15; net_len = 25; min_time = 110; max_time = 191; average_time = 151; 
pattern_count = 1; pattern_len = 15; net_len = 30; min_time = 179; max_time = 274; average_time = 208; 
pattern_count = 1; pattern_len = 15; net_len = 35; min_time = 247; max_time = 321; average_time = 284; 
pattern_count = 1; pattern_len = 15; net_len = 40; min_time = 329; max_time = 406; average_time = 356; 
pattern_count = 1; pattern_len = 15; net_len = 45; min_time = 379; max_time = 610; average_time = 505; 
pattern_count = 1; pattern_len = 15; net_len = 50; min_time = 479; max_time = 632; average_time = 567; 
pattern_count = 1; pattern_len = 15; net_len = 55; min_time = 642; max_time = 1018; average_time = 794; 
pattern_count = 1; pattern_len = 15; net_len = 60; min_time = 715; max_time = 1030; average_time = 849; 
pattern_count = 1; pattern_len = 15; net_len = 65; min_time = 843; max_time = 1130; average_time = 964; 
pattern_count = 1; pattern_len = 15; net_len = 70; min_time = 908; max_time = 1619; average_time = 1179; 
pattern_count = 1; pattern_len = 15; net_len = 75; min_time = 1164; max_time = 1453; average_time = 1289; 
pattern_count = 1; pattern_len = 15; net_len = 80; min_time = 1265; max_time = 1836; average_time = 1585; 
pattern_count = 1; pattern_len = 15; net_len = 85; min_time = 1382; max_time = 1836; average_time = 1636; 
pattern_count = 1; pattern_len = 15; net_len = 90; min_time = 1708; max_time = 2153; average_time = 1919; 
pattern_count = 1; pattern_len = 15; net_len = 95; min_time = 1783; max_time = 2337; average_time = 2025; 
pattern_count = 1; pattern_len = 15; net_len = 100; min_time = 2011; max_time = 3096; average_time = 2430; 

pattern_count = 1; pattern_len = 18; net_len = 5; min_time = 88; max_time = 143; average_time = 108; 
pattern_count = 1; pattern_len = 18; net_len = 10; min_time = 88; max_time = 135; average_time = 109; 
pattern_count = 1; pattern_len = 18; net_len = 15; min_time = 87; max_time = 126; average_time = 105; 
pattern_count = 1; pattern_len = 18; net_len = 20; min_time = 106; max_time = 151; average_time = 128; 
pattern_count = 1; pattern_len = 18; net_len = 25; min_time = 152; max_time = 220; average_time = 190; 
pattern_count = 1; pattern_len = 18; net_len = 30; min_time = 233; max_time = 360; average_time = 300; 
pattern_count = 1; pattern_len = 18; net_len = 35; min_time = 331; max_time = 602; average_time = 417; 
pattern_count = 1; pattern_len = 18; net_len = 40; min_time = 406; max_time = 585; average_time = 483; 
pattern_count = 1; pattern_len = 18; net_len = 45; min_time = 540; max_time = 733; average_time = 628; 
pattern_count = 1; pattern_len = 18; net_len = 50; min_time = 650; max_time = 943; average_time = 805; 
pattern_count = 1; pattern_len = 18; net_len = 55; min_time = 806; max_time = 1079; average_time = 932; 
pattern_count = 1; pattern_len = 18; net_len = 60; min_time = 909; max_time = 1297; average_time = 1121; 
pattern_count = 1; pattern_len = 18; net_len = 65; min_time = 1107; max_time = 1532; average_time = 1295; 
pattern_count = 1; pattern_len = 18; net_len = 70; min_time = 1379; max_time = 1868; average_time = 1663; 
pattern_count = 1; pattern_len = 18; net_len = 75; min_time = 1427; max_time = 2109; average_time = 1760; 
pattern_count = 1; pattern_len = 18; net_len = 80; min_time = 1706; max_time = 2512; average_time = 2079; 
pattern_count = 1; pattern_len = 18; net_len = 85; min_time = 1820; max_time = 2735; average_time = 2219; 
pattern_count = 1; pattern_len = 18; net_len = 90; min_time = 2272; max_time = 2978; average_time = 2512; 
pattern_count = 1; pattern_len = 18; net_len = 95; min_time = 2394; max_time = 3249; average_time = 2747; 
pattern_count = 1; pattern_len = 18; net_len = 100; min_time = 2568; max_time = 4108; average_time = 3214; 

pattern_count = 1; pattern_len = 21; net_len = 5; min_time = 135; max_time = 236; average_time = 175; 
pattern_count = 1; pattern_len = 21; net_len = 10; min_time = 148; max_time = 230; average_time = 191; 
pattern_count = 1; pattern_len = 21; net_len = 15; min_time = 146; max_time = 218; average_time = 182; 
pattern_count = 1; pattern_len = 21; net_len = 20; min_time = 151; max_time = 229; average_time = 180; 
pattern_count = 1; pattern_len = 21; net_len = 25; min_time = 219; max_time = 367; average_time = 279; 
pattern_count = 1; pattern_len = 21; net_len = 30; min_time = 298; max_time = 518; average_time = 386; 
pattern_count = 1; pattern_len = 21; net_len = 35; min_time = 401; max_time = 585; average_time = 509; 
