pattern_count = 1; pattern_len = 3; net_len = 5; min_time = 1; max_time = 3; average_time = 1; 
pattern_count = 1; pattern_len = 3; net_len = 10; min_time = 2; max_time = 6; average_time = 4; 
pattern_count = 1; pattern_len = 3; net_len = 15; min_time = 5; max_time = 14; average_time = 8; 
pattern_count = 1; pattern_len = 3; net_len = 20; min_time = 8; max_time = 16; average_time = 12; 
pattern_count = 1; pattern_len = 3; net_len = 25; min_time = 12; max_time = 26; average_time = 18; 
pattern_count = 1; pattern_len = 3; net_len = 30; min_time = 20; max_time = 52; average_time = 29; 
pattern_count = 1; pattern_len = 3; net_len = 35; min_time = 23; max_time = 48; average_time = 32; 
pattern_count = 1; pattern_len = 3; net_len = 40; min_time = 33; max_time = 49; average_time = 40; 
pattern_count = 1; pattern_len = 3; net_len = 45; min_time = 40; max_time = 72; average_time = 58; 
pattern_count = 1; pattern_len = 3; net_len = 50; min_time = 54; max_time = 79; average_time = 63; 
pattern_count = 1; pattern_len = 3; net_len = 55; min_time = 55; max_time = 138; average_time = 82; 
pattern_count = 1; pattern_len = 3; net_len = 60; min_time = 62; max_time = 133; average_time = 90; 
pattern_count = 1; pattern_len = 3; net_len = 65; min_time = 90; max_time = 159; average_time = 109; 
pattern_count = 1; pattern_len = 3; net_len = 70; min_time = 83; max_time = 134; average_time = 107; 
pattern_count = 1; pattern_len = 3; net_len = 75; min_time = 85; max_time = 143; average_time = 109; 
pattern_count = 1; pattern_len = 3; net_len = 80; min_time = 104; max_time = 155; average_time = 119; 
pattern_count = 1; pattern_len = 3; net_len = 85; min_time = 124; max_time = 232; average_time = 148; 
pattern_count = 1; pattern_len = 3; net_len = 90; min_time = 131; max_time = 218; average_time = 161; 
pattern_count = 1; pattern_len = 3; net_len = 95; min_time = 133; max_time = 243; average_time = 159; 
pattern_count = 1; pattern_len = 3; net_len = 100; min_time = 147; max_time = 229; average_time = 165; 
pattern_count = 1; pattern_len = 3; net_len = 105; min_time = 168; max_time = 228; average_time = 184; 
pattern_count = 1; pattern_len = 3; net_len = 110; min_time = 178; max_time = 262; average_time = 201; 
pattern_count = 1; pattern_len = 3; net_len = 115; min_time = 201; max_time = 283; average_time = 224; 
pattern_count = 1; pattern_len = 3; net_len = 120; min_time = 215; max_time = 265; average_time = 235; 
pattern_count = 1; pattern_len = 3; net_len = 125; min_time = 231; max_time = 315; average_time = 251; 
pattern_count = 1; pattern_len = 3; net_len = 130; min_time = 245; max_time = 328; average_time = 273; 
pattern_count = 1; pattern_len = 3; net_len = 135; min_time = 271; max_time = 368; average_time = 303; 
pattern_count = 1; pattern_len = 3; net_len = 140; min_time = 284; max_time = 357; average_time = 318; 
pattern_count = 1; pattern_len = 3; net_len = 145; min_time = 304; max_time = 403; average_time = 343; 
pattern_count = 1; pattern_len = 3; net_len = 150; min_time = 342; max_time = 406; average_time = 370; 
pattern_count = 1; pattern_len = 3; net_len = 155; min_time = 349; max_time = 441; average_time = 386; 
pattern_count = 1; pattern_len = 3; net_len = 160; min_time = 389; max_time = 652; average_time = 451; 
pattern_count = 1; pattern_len = 3; net_len = 165; min_time = 405; max_time = 509; average_time = 455; 
pattern_count = 1; pattern_len = 3; net_len = 170; min_time = 435; max_time = 530; average_time = 473; 
